Date,Open,High,Low,Close,Adj Close,Volume
2021-08-12,4446.08,4461.77,4435.96,4460.83,4460.83,3375310000
2021-08-13,4464.84,4468.37,4460.82,4468,4468,3016470000
2021-08-16,4461.65,4480.26,4437.66,4479.71,4479.71,3370640000
2021-08-17,4462.12,4462.12,4417.83,4448.08,4448.08,3836960000
2021-08-18,4440.94,4454.32,4397.59,4400.27,4400.27,3755590000
2021-08-19,4382.44,4418.61,4367.73,4405.8,4405.8,4398410000
2021-08-20,4410.56,4444.35,4406.8,4441.67,4441.67,3652610000
2021-08-23,4450.29,4489.88,4450.29,4479.53,4479.53,3576530000
2021-08-24,4484.4,4492.81,4482.28,4486.23,4486.23,3979220000
2021-08-25,4490.45,4501.71,4485.66,4496.19,4496.19,3444700000
2021-08-26,4493.75,4495.9,4468.99,4470,4470,3263980000
2021-08-27,4474.1,4513.33,4474.1,4509.37,4509.37,3331200000
2021-08-30,4513.76,4537.36,4513.76,4528.79,4528.79,3168660000
2021-08-31,4529.75,4531.39,4515.8,4522.68,4522.68,4290710000
2021-09-01,4528.8,4537.11,4522.02,4524.09,4524.09,4057340000
2021-09-02,4534.48,4545.85,4524.66,4536.95,4536.95,3735990000
2021-09-03,4532.42,4541.45,4521.3,4535.43,4535.43,3217530000
2021-09-07,4535.38,4535.38,4513,4520.03,4520.03,3822960000
2021-09-08,4518.09,4521.79,4493.95,4514.07,4514.07,3750880000
2021-09-09,4513.02,4529.9,4492.07,4493.28,4493.28,3735390000
2021-09-10,4506.92,4520.47,4457.66,4458.58,4458.58,3623180000
2021-09-13,4474.81,4492.99,4445.7,4468.73,4468.73,3914220000
2021-09-14,4479.33,4485.68,4435.46,4443.05,4443.05,3670460000
2021-09-15,4447.49,4486.87,4438.37,4480.7,4480.7,4032020000
2021-09-16,4477.09,4485.87,4443.8,4473.75,4473.75,3984560000
2021-09-17,4469.74,4471.52,4427.76,4432.99,4432.99,7289530000
2021-09-20,4402.95,4402.95,4305.91,4357.73,4357.73,4898070000
2021-09-21,4374.45,4394.87,4347.96,4354.19,4354.19,3920920000
2021-09-22,4367.43,4416.75,4367.43,4395.64,4395.64,3939170000
2021-09-23,4406.75,4465.4,4406.75,4448.98,4448.98,3916350000
2021-09-24,4438.04,4463.12,4430.27,4455.48,4455.48,3384290000
2021-09-27,4442.12,4457.3,4436.19,4443.11,4443.11,4058650000
2021-09-28,4419.54,4419.54,4346.33,4352.63,4352.63,4416550000
2021-09-29,4362.41,4385.57,4355.08,4359.46,4359.46,3712660000
2021-09-30,4370.67,4382.55,4306.24,4307.54,4307.54,4448140000
2021-10-01,4317.16,4375.19,4288.52,4357.04,4357.04,4010370000
2021-10-04,4348.84,4355.51,4278.94,4300.46,4300.46,4307870000
2021-10-05,4309.87,4369.23,4309.87,4345.72,4345.72,3902890000
2021-10-06,4319.57,4365.57,4290.49,4363.55,4363.55,4009630000
2021-10-07,4383.73,4429.97,4383.73,4399.76,4399.76,3843740000
2021-10-08,4406.51,4412.02,4386.22,4391.34,4391.34,3280160000
2021-10-11,4385.44,4415.88,4360.59,4361.19,4361.19,3281970000
2021-10-12,4368.31,4374.89,4342.09,4350.65,4350.65,3558450000
2021-10-13,4358.01,4372.87,4329.92,4363.8,4363.8,3620070000
2021-10-14,4386.75,4439.73,4386.75,4438.26,4438.26,3598280000
2021-10-15,4447.69,4475.82,4447.69,4471.37,4471.37,3819380000
2021-10-18,4463.72,4488.75,4447.47,4486.46,4486.46,3662010000
2021-10-19,4497.34,4520.4,4496.41,4519.63,4519.63,3459130000
2021-10-20,4524.42,4540.87,4524.4,4536.19,4536.19,3670760000
2021-10-21,4532.24,4551.44,4526.89,4549.78,4549.78,3822330000
2021-10-22,4546.12,4559.67,4524,4544.9,4544.9,3758220000
2021-10-25,4553.69,4572.62,4537.36,4566.48,4566.48,3899400000
2021-10-26,4578.69,4598.53,4569.17,4574.79,4574.79,3879740000
2021-10-27,4580.22,4584.57,4551.66,4551.68,4551.68,4226050000
2021-10-28,4562.84,4597.55,4562.84,4596.42,4596.42,4132950000
2021-10-29,4572.87,4608.08,4567.59,4605.38,4605.38,4510200000
2021-11-01,4610.62,4620.34,4595.06,4613.67,4613.67,3971540000
2021-11-02,4613.34,4635.15,4613.34,4630.65,4630.65,3975250000
2021-11-03,4630.65,4663.46,4621.19,4660.57,4660.57,4319660000
2021-11-04,4662.93,4683,4662.59,4680.06,4680.06,4462300000
2021-11-05,4699.26,4718.5,4681.32,4697.53,4697.53,4467180000
2021-11-08,4701.48,4714.92,4694.39,4701.7,4701.7,4269710000
2021-11-09,4707.25,4708.53,4670.87,4685.25,4685.25,4117080000
2021-11-10,4670.26,4684.85,4630.86,4646.71,4646.71,4503720000
2021-11-11,4659.39,4664.55,4648.31,4649.27,4649.27,3926870000
2021-11-12,4655.24,4688.47,4650.77,4682.85,4682.85,3728600000
2021-11-15,4689.3,4697.42,4672.86,4682.8,4682.8,3488410000
2021-11-16,4679.42,4714.95,4679.42,4700.9,4700.9,3972640000
2021-11-17,4701.5,4701.5,4684.41,4688.67,4688.67,3969070000
2021-11-18,4700.72,4708.8,4672.78,4704.54,4704.54,4226410000
